2000	2000 Barangaroo
2006	2006 The University Of Sydney
2007	2007 Broadway
2008	2008 Chippendale
2009	2009 Pyrmont
2010	2010 Darlinghurst
2011	2011 Elizabeth Bay
2015	2015 Alexandria
2016	2016 Redfern
2017	2017 Waterloo
2018	2018 Eastlakes
2019	2019 Banksmeadow
2020	2020 Mascot
2021	2021 Centennial Park
2022	2022 Bondi Junction
2023	2023 Bellevue Hill
2024	2024 Bronte
2025	2025 Woollahra
2026	2026 Bondi
2027	2027 Darling Point
2028	2028 Double Bay
2029	2029 Rose Bay
2030	2030 Dover Heights
2031	2031 Clovelly
2032	2032 Daceyville
2033	2033 Kensington
2034	2034 Coogee
2035	2035 Maroubra
2036	2036 Chifley
2037	2037 Forest Lodge
2038	2038 Annandale
2039	2039 Rozelle
2040	2040 Leichhardt
2041	2041 Balmain
2042	2042 Enmore
2043	2043 Erskineville
2044	2044 St Peters
2045	2045 Haberfield
2046	2046 Abbotsford
2047	2047 Drummoyne
2048	2048 Stanmore
2049	2049 Lewisham
2050	2050 Camperdown
2060	2060 Hmas Platypus
2061	2061 Kirribilli
2062	2062 Cammeray
2063	2063 Northbridge
2064	2064 Artarmon
2065	2065 Crows Nest
2066	2066 Lane Cove
2067	2067 Chatswood
2068	2068 Castlecrag
2069	2069 Castle Cove
2070	2070 East Lindfield
2071	2071 East Killara
2072	2072 Gordon
2073	2073 Pymble
2086	2086 Frenchs Forest
2087	2087 Forestville
2088	2088 Mosman
2089	2089 Kurraba Point
2090	2090 Cremorne
2092	2092 Seaforth
2093	2093 Balgowlah
2094	2094 Fairlight
2095	2095 Manly
2096	2096 Curl Curl
2097	2097 Collaroy
2099	2099 Cromer
2100	2100 Allambie Heights
2109	2109 Macquarie University
2110	2110 Hunters Hill
2111	2111 Boronia Park
2112	2112 Denistone East
2113	2113 Blenheim Road
2114	2114 Denistone
2115	2115 Ermington
2116	2116 Rydalmere
2117	2117 Dundas
2118	2118 Carlingford
2119	2119 Beecroft
2121	2121 Epping
2122	2122 Eastwood
2125	2125 West Pennant Hills
2127	2127 Newington
2128	2128 Silverwater
2130	2130 Summer Hill
2131	2131 Ashfield
2132	2132 Croydon
2133	2133 Croydon Park
2134	2134 Burwood
2135	2135 Strathfield
2136	2136 Burwood Heights
2137	2137 Breakfast Point
2138	2138 Concord West
2140	2140 Homebush
2141	2141 Berala
2142	2142 Blaxcell
2143	2143 Birrong
2144	2144 Auburn
2145	2145 Constitution Hill
2146	2146 Old Toongabbie
2147	2147 Kings Langley
2148	2148 Arndell Park
2150	2150 Harris Park
2151	2151 North Parramatta
2152	2152 Northmead
2153	2153 Baulkham Hills
2160	2160 Merrylands
2161	2161 Guildford
2162	2162 Chester Hill
2163	2163 Carramar
2164	2164 Smithfield
2165	2165 Fairfield
2166	2166 Cabramatta
2167	2167 Glenfield
2168	2168 Ashcroft
2170	2170 Casula
2172	2172 Pleasure Point
2176	2176 Abbotsbury
2177	2177 Bonnyrigg
2190	2190 Chullora
2191	2191 Belfield
2192	2192 Belmore
2193	2193 Ashbury
2194	2194 Campsie
2195	2195 Lakemba
2196	2196 Punchbowl
2197	2197 Bass Hill
2198	2198 Georges Hall
2199	2199 Yagoona
2200	2200 Bankstown
2203	2203 Dulwich Hill
2204	2204 Marrickville
2205	2205 Arncliffe
2206	2206 Clemton Park
2207	2207 Bardwell Park
2208	2208 Kingsgrove
2209	2209 Beverly Hills
2210	2210 Lugarno
2211	2211 Padstow
2212	2212 Revesby
2213	2213 East Hills
2214	2214 Milperra
2216	2216 Banksia
2217	2217 Beverley Park
2218	2218 Allawah
2219	2219 Dolls Point
2220	2220 Hurstville
2221	2221 Blakehurst
2222	2222 Penshurst
2223	2223 Mortdale
2224	2224 Kangaroo Point
2225	2225 Oyster Bay
2226	2226 Bonnet Bay
2228	2228 Miranda
2229	2229 Caringbah
2230	2230 Bundeena
2231	2231 Kurnell
2564	2564 Glenquarie
